component,x,y,z,angle_deg
BF1,-0.200179,-0.193243,0.110182,151.1708
BF2,-0.144511,-0.19445,0.178307,129.0234
BF3,-0.095601,-0.299314,0.207538,114.7328
BF4,0.140286,-0.258877,0.180364,52.1244
BF5,0.199836,-0.193243,0.110801,29.0066
BR1,0.200519,-0.193243,-0.109562,-28.6519
BR6,-0.199493,-0.193243,-0.111419,-150.8161
